customer_id,customer_code,organisation_name,country_code,country_name,region,subregion,industry,employee_count,segment,acquisition_channel,signup_date,trial_start_date,status
24,cus_000024,Summit Advisory SAS,FR,France,Europe,Western Europe,education,33,SMB,inbound,2023-01-01,,churned
25,cus_000025,Prairie Logistics LLP,GB,United Kingdom,Europe,United Kingdom,healthcare,35,SMB,event,2025-04-23,,churned
26,cus_000026,Forge Networks Ltd,GB,United Kingdom,Europe,United Kingdom,construction,61,Mid-Market,event,2025-11-25,,active
27,cus_000027,Harbour Solutions LLP,GB,United Kingdom,Europe,United Kingdom,manufacturing,50,Mid-Market,partner,2024-04-18,,active
28,cus_000028,Amber Networks GmbH,DE,Germany,Europe,DACH,education,25,SMB,self_serve,2025-09-03,2025-08-13,active
29,cus_000029,North Industries B.V.,NL,Netherlands,Europe,Western Europe,facilities,32,SMB,self_serve,2025-01-25,2025-01-11,churned
30,cus_000030,Vertex Solutions Inc,CA,Canada,North America,Canada,professional_services,9,SMB,event,2025-03-04,,churned
31,cus_000031,Forest Studios LLC,US,United States,North America,South,logistics,50,Mid-Market,self_serve,2023-07-31,2023-07-17,active
32,cus_000032,Nimbus Clinics AB,SE,Sweden,Europe,Nordics,logistics,526,Enterprise,partner,2024-05-09,,active
33,cus_000033,Forge Labs Inc,US,United States,North America,Northeast,professional_services,46,SMB,partner,2026-08-05,,active
34,cus_000034,Prairie Services LLC,US,United States,North America,West,logistics,102,Mid-Market,self_serve,2025-03-24,2025-03-10,active
35,cus_000035,Urban Logistics AG,DE,Germany,Europe,DACH,professional_services,96,Mid-Market,partner,2025-08-06,,churned
36,cus_000036,Vertex Holdings Inc,US,United States,North America,West,professional_services,32,SMB,self_serve,2024-04-17,2024-04-03,active
37,cus_000037,Bright Studios Corp,US,United States,North America,Northeast,facilities,1060,Enterprise,partner,2025-08-27,,active
38,cus_000038,Copper Logistics Corp,US,United States,North America,Midwest,education,123,Mid-Market,outbound,2023-02-07,,active
39,cus_000039,Vertex Solutions AG,DE,Germany,Europe,DACH,logistics,6,SMB,partner,2024-01-06,,active
40,cus_000040,Copper Industries AB,SE,Sweden,Europe,Nordics,professional_services,45,SMB,inbound,2025-06-05,,active
41,cus_000041,Bright Collective Corp,US,United States,North America,Northeast,professional_services,45,SMB,self_serve,2023-02-05,,churned
42,cus_000042,Iron Partners LLP,GB,United Kingdom,Europe,United Kingdom,education,61,Mid-Market,outbound,2022-07-02,,active
43,cus_000043,Oak Workshops Pty Ltd,AU,Australia,APAC,Australia,manufacturing,31,SMB,inbound,2022-10-18,,churned
44,cus_000044,Metro Systems Corp,US,United States,North America,Midwest,manufacturing,1813,Enterprise,inbound,2023-12-15,,active
45,cus_000045,Urban Labs LLC,US,United States,North America,West,healthcare,45,SMB,inbound,2025-12-22,,active
46,cus_000046,Lumen Fabrication Inc,CA,Canada,North America,Canada,healthcare,205,Mid-Market,inbound,2024-11-19,,active
47,cus_000047,Pacific Supply Corp,US,United States,North America,Northeast,healthcare,2303,Enterprise,outbound,2026-01-10,,active
48,cus_000048,Golden Labs Corp,US,United States,North America,South,logistics,33,SMB,inbound,2025-03-31,,churned
49,cus_000049,Silver Networks LLC,US,United States,North America,West,manufacturing,838,Enterprise,partner,2026-06-22,,active
50,cus_000050,Forge Logistics Corp,US,United States,North America,Northeast,logistics,30,SMB,self_serve,2023-11-02,2023-10-26,churned
51,cus_000051,Metro Retail Inc,US,United States,North America,Northeast,manufacturing,50,Mid-Market,partner,2024-02-03,,active
52,cus_000052,Pacific Solutions GmbH,DE,Germany,Europe,DACH,manufacturing,639,Enterprise,partner,2023-11-11,,active
53,cus_000053,Vertex Engineering Ltd,GB,United Kingdom,Europe,United Kingdom,professional_services,39,SMB,inbound,2022-08-22,,churned
54,cus_000054,Silver Retail LLP,GB,United Kingdom,Europe,United Kingdom,professional_services,42,SMB,event,2023-04-28,,churned
55,cus_000055,River Retail Inc,CA,Canada,North America,Canada,retail,23,SMB,self_serve,2025-04-14,,churned
56,cus_000056,Pioneer Clinics Ltd,CA,Canada,North America,Canada,construction,11,SMB,self_serve,2025-07-01,2025-06-17,churned
57,cus_000057,Prairie Clinics SARL,FR,France,Europe,Western Europe,logistics,77,Mid-Market,self_serve,2024-09-07,,active
58,cus_000058,Amber Ventures Inc,US,United States,North America,Northeast,facilities,27,SMB,partner,2026-02-20,,active
59,cus_000059,Canyon Services AG,DE,Germany,Europe,DACH,education,55,Mid-Market,outbound,2025-06-28,,active
60,cus_000060,Canyon Services GmbH,DE,Germany,Europe,DACH,manufacturing,16,SMB,inbound,2025-09-03,,active
61,cus_000061,Coastal Industries LLP,GB,United Kingdom,Europe,United Kingdom,professional_services,593,Enterprise,partner,2024-11-28,,active
62,cus_000062,Amber Studios Inc,US,United States,North America,Northeast,professional_services,59,Mid-Market,inbound,2026-03-04,,active
63,cus_000063,Bright Labs LLP,GB,United Kingdom,Europe,United Kingdom,professional_services,7,SMB,self_serve,2025-11-19,,active
64,cus_000064,Copper Logistics Pty Ltd,AU,Australia,APAC,Australia,facilities,35,SMB,partner,2026-07-31,,active
65,cus_000065,Coastal Logistics Corp,US,United States,North America,West,professional_services,21,SMB,inbound,2026-05-31,,active
66,cus_000066,Forest Retail Pty Ltd,AU,Australia,APAC,Australia,professional_services,37,SMB,outbound,2025-10-08,,churned
67,cus_000067,Lumen Logistics Inc,US,United States,North America,Northeast,professional_services,500,Enterprise,inbound,2026-02-24,,active
68,cus_000068,Blue Solutions Ltd,CA,Canada,North America,Canada,professional_services,163,Mid-Market,partner,2025-08-01,,active
69,cus_000069,Maple Partners Pty Ltd,AU,Australia,APAC,Australia,manufacturing,30,SMB,inbound,2023-06-29,,churned
70,cus_000070,Anchor Industries Inc,US,United States,North America,South,manufacturing,39,SMB,inbound,2023-08-13,,churned
71,cus_000071,Forge Retail AG,DE,Germany,Europe,DACH,professional_services,500,Enterprise,outbound,2026-08-19,,active
72,cus_000072,Apex Holdings LLC,US,United States,North America,Midwest,construction,13,SMB,self_serve,2023-01-17,2023-01-03,churned
73,cus_000073,Urban Networks Corp,US,United States,North America,South,retail,16,SMB,self_serve,2024-01-29,2024-01-08,active
74,cus_000074,Copper Ventures B.V.,NL,Netherlands,Europe,Western Europe,professional_services,75,Mid-Market,outbound,2023-05-19,,churned
75,cus_000075,Maple Solutions AB,SE,Sweden,Europe,Nordics,facilities,13,SMB,outbound,2025-09-24,,churned
76,cus_000076,Harbour Works Ltd,CA,Canada,North America,Canada,financial_services,711,Enterprise,inbound,2025-03-28,,active
77,cus_000077,North Solutions LLP,GB,United Kingdom,Europe,United Kingdom,construction,79,Mid-Market,inbound,2024-11-06,,active
78,cus_000078,Summit Works Inc,US,United States,North America,West,manufacturing,12,SMB,self_serve,2023-04-30,2023-04-16,churned
79,cus_000079,Lumen Engineering Ltd,GB,United Kingdom,Europe,United Kingdom,professional_services,45,SMB,self_serve,2025-10-16,2025-10-02,active
80,cus_000080,Pioneer Studios SARL,FR,France,Europe,Western Europe,construction,30,SMB,self_serve,2025-10-11,2025-10-04,active
81,cus_000081,Maple Retail AB,SE,Sweden,Europe,Nordics,healthcare,29,SMB,event,2025-08-25,,active
82,cus_000082,Prairie Retail Pty Ltd,AU,Australia,APAC,Australia,,50,Mid-Market,outbound,2026-06-09,,active
83,cus_000083,Forge Group Ltd,CA,Canada,North America,Canada,manufacturing,43,SMB,inbound,2025-03-27,,churned
84,cus_000084,Silver Clinics Inc,US,United States,North America,South,logistics,13,SMB,self_serve,2026-06-22,2026-06-08,churned
85,cus_000085,Pioneer Collective LLC,US,United States,North America,South,logistics,52,Mid-Market,outbound,2023-08-05,,active
86,cus_000086,Beacon Works LLC,US,United States,North America,West,manufacturing,65,Mid-Market,inbound,2024-12-03,,active
87,cus_000087,Nimbus Properties B.V.,NL,Netherlands,Europe,Western Europe,construction,48,SMB,self_serve,2024-09-12,2024-08-29,churned
88,cus_000088,Forest Networks SAS,FR,France,Europe,Western Europe,logistics,1234,Enterprise,inbound,2025-04-01,,active
89,cus_000089,Iron Ventures Ltd,GB,United Kingdom,Europe,United Kingdom,professional_services,153,Mid-Market,inbound,2025-02-04,,active
90,cus_000090,Summit Studios LLP,GB,United Kingdom,Europe,United Kingdom,education,23,SMB,self_serve,2024-11-20,2024-11-13,churned
91,cus_000091,Golden Retail Corp,US,United States,North America,Northeast,facilities,500,Enterprise,inbound,2023-07-16,,active
92,cus_000092,Vertex Systems SARL,FR,France,Europe,Western Europe,logistics,14,SMB,self_serve,2023-08-21,,churned
93,cus_000093,Cedar Solutions LLP,GB,United Kingdom,Europe,United Kingdom,financial_services,2323,Enterprise,inbound,2023-01-07,,active
94,cus_000094,Atlas Engineering AB,SE,Sweden,Europe,Nordics,logistics,500,Enterprise,event,2024-05-07,,active
95,cus_000095,Forest Labs AB,SE,Sweden,Europe,Nordics,logistics,849,Enterprise,outbound,2025-02-07,,active
96,cus_000096,Vertex Studios Corp,US,United States,North America,Northeast,manufacturing,23,SMB,event,2023-08-10,,active
97,cus_000097,Vertex Partners LLC,US,United States,North America,West,facilities,736,Enterprise,outbound,2023-11-19,,active
98,cus_000098,Maple Studios LLC,US,United States,North America,South,professional_services,17,SMB,self_serve,2024-11-22,2024-11-08,active
99,cus_000099,Summit Operations SARL,FR,France,Europe,Western Europe,education,26,SMB,self_serve,2026-05-30,2026-05-23,active
100,cus_000100,Anchor Fabrication Corp,US,United States,North America,Midwest,logistics,20,SMB,self_serve,2024-09-05,2024-08-15,churned
101,cus_000101,Forge Ventures LLC,US,United States,North America,Midwest,construction,822,Enterprise,outbound,2024-12-13,,active
102,cus_000102,Beacon Studios AB,SE,Sweden,Europe,Nordics,construction,500,Enterprise,inbound,2025-11-24,,active
103,cus_000103,Copper Collective Corp,US,United States,North America,Midwest,construction,49,SMB,self_serve,2025-12-16,2025-12-02,active
104,cus_000104,Harbour Studios Corp,US,United States,North America,South,healthcare,15,SMB,outbound,2023-07-24,,churned
105,cus_000105,Amber Holdings Ltd,GB,United Kingdom,Europe,United Kingdom,professional_services,110,Mid-Market,partner,2025-08-11,,churned
106,cus_000106,Atlas Collective Inc,CA,Canada,North America,Canada,education,30,SMB,inbound,2024-08-15,,active
107,cus_000107,Coastal Collective Pty Ltd,AU,Australia,APAC,Australia,financial_services,104,Mid-Market,inbound,2025-05-15,,active
108,cus_000108,Blue Works SARL,FR,France,Europe,Western Europe,professional_services,27,SMB,outbound,2026-02-18,,churned
109,cus_000109,Apex Partners Corp,US,United States,North America,South,healthcare,44,SMB,event,2025-05-22,,active
110,cus_000110,Pacific Clinics LLC,US,United States,North America,Midwest,retail,30,SMB,self_serve,2024-09-09,2024-09-02,churned
111,cus_000111,Summit Properties AB,SE,Sweden,Europe,Nordics,education,45,SMB,self_serve,2025-04-12,,active
112,cus_000112,Nimbus Workshops Ltd,CA,Canada,North America,Canada,facilities,47,SMB,inbound,2024-03-30,,active
113,cus_000113,Urban Fabrication AB,SE,Sweden,Europe,Nordics,professional_services,500,Enterprise,event,2026-04-11,,active
114,cus_000114,Atlas Properties Pty Ltd,AU,Australia,APAC,Australia,financial_services,14,SMB,inbound,2024-06-11,,churned
115,cus_000115,Coastal Studios AG,DE,Germany,Europe,DACH,manufacturing,50,Mid-Market,partner,2024-08-02,,churned
116,cus_000116,North Supply Corp,US,United States,North America,Northeast,construction,33,SMB,self_serve,2025-11-03,2025-10-20,active
117,cus_000117,Pacific Industries Corp,US,United States,North America,West,professional_services,45,SMB,self_serve,2025-01-31,,active
118,cus_000118,Blue Group LLP,GB,United Kingdom,Europe,United Kingdom,financial_services,3497,Enterprise,outbound,2024-09-02,,active
119,cus_000119,Pacific Supply Inc,CA,Canada,North America,Canada,logistics,787,Enterprise,inbound,2025-01-27,,active
120,cus_000120,Urban Solutions Corp,US,United States,North America,Midwest,professional_services,94,Mid-Market,self_serve,2024-05-13,2024-04-29,active
121,cus_000121,Copper Group SAS,FR,France,Europe,Western Europe,construction,38,SMB,outbound,2026-03-08,,active
122,cus_000122,Nimbus Labs LLC,US,United States,North America,South,healthcare,801,Enterprise,outbound,2024-04-17,,active
123,cus_000123,Alpine Collective Ltd,CA,Canada,North America,Canada,logistics,33,SMB,self_serve,2025-02-09,2025-01-26,active
124,cus_000124,Beacon Systems Ltd,CA,Canada,North America,Canada,education,38,SMB,inbound,2026-05-28,,active
125,cus_000125,Cedar Partners GmbH,DE,Germany,Europe,DACH,manufacturing,18,SMB,self_serve,2024-10-24,2024-10-10,churned
126,cus_000126,Cedar Clinics GmbH,DE,Germany,Europe,DACH,healthcare,25,SMB,self_serve,2026-02-12,2026-01-29,active
127,cus_000127,Alpine Engineering SARL,FR,France,Europe,Western Europe,construction,47,SMB,inbound,2024-06-08,,churned
128,cus_000128,Forest Workshops Corp,US,United States,North America,Northeast,financial_services,70,Mid-Market,outbound,2023-12-05,,active
129,cus_000129,Nimbus Systems Pty Ltd,AU,Australia,APAC,Australia,logistics,854,Enterprise,outbound,2026-02-18,,active
130,cus_000130,Pioneer Fabrication Ltd,CA,Canada,North America,Canada,logistics,13,SMB,self_serve,2026-05-23,2026-05-02,active
131,cus_000131,Anchor Advisory Inc,US,United States,North America,West,professional_services,16,SMB,self_serve,2025-01-31,2025-01-17,active
132,cus_000132,Lumen Engineering B.V.,NL,Netherlands,Europe,Western Europe,logistics,38,SMB,inbound,2025-01-07,,churned
133,cus_000133,Pioneer Partners Pty Ltd,AU,Australia,APAC,Australia,manufacturing,160,Mid-Market,partner,2024-12-03,,active
134,cus_000134,Alpine Workshops Inc,US,United States,North America,West,professional_services,31,SMB,inbound,2025-07-13,,active
135,cus_000135,Canyon Industries Pty Ltd,AU,Australia,APAC,Australia,facilities,2208,Enterprise,event,2024-09-11,,active
136,cus_000136,Forge Labs Corp,US,United States,North America,Northeast,professional_services,24,SMB,self_serve,2026-02-17,2026-02-03,churned
137,cus_000137,Oak Industries Corp,US,United States,North America,Midwest,healthcare,41,SMB,partner,2025-12-29,,churned
138,cus_000138,Amber Group Corp,US,United States,North America,Northeast,logistics,13,SMB,self_serve,2026-04-25,2026-04-11,active
139,cus_000139,Pioneer Supply Inc,US,United States,North America,South,financial_services,86,Mid-Market,inbound,2025-07-21,,active
140,cus_000140,Summit Retail Inc,US,United States,North America,West,retail,292,Mid-Market,partner,2025-01-17,,active
141,cus_000141,Anchor Ventures AG,DE,Germany,Europe,DACH,facilities,10,SMB,partner,2023-10-30,,active
142,cus_000142,River Properties GmbH,DE,Germany,Europe,DACH,facilities,50,Mid-Market,self_serve,2026-07-05,2026-06-21,active
143,cus_000143,Summit Supply SARL,FR,France,Europe,Western Europe,professional_services,10,SMB,inbound,2026-03-24,,active
144,cus_000144,Granite Fabrication Ltd,GB,United Kingdom,Europe,United Kingdom,construction,56,Mid-Market,inbound,2023-05-02,,active
145,cus_000145,Harbour Workshops Inc,US,United States,North America,West,construction,77,Mid-Market,outbound,2023-01-04,,churned
146,cus_000146,Copper Workshops Corp,US,United States,North America,West,professional_services,105,Mid-Market,inbound,2026-01-17,,active
147,cus_000147,Alpine Industries AB,SE,Sweden,Europe,Nordics,manufacturing,9,SMB,partner,2023-02-08,,active
148,cus_000148,Copper Holdings Inc,US,United States,North America,South,healthcare,239,Mid-Market,inbound,2023-02-10,,active
149,cus_000149,Harbour Studios Inc,US,United States,North America,West,financial_services,115,Mid-Market,outbound,2024-04-15,,churned
150,cus_000150,Forest Solutions Corp,US,United States,North America,West,retail,178,Mid-Market,self_serve,2024-10-04,2024-09-27,active
151,cus_000151,Beacon Industries Corp,US,United States,North America,Northeast,professional_services,14,SMB,self_serve,2025-07-05,2025-06-28,churned
152,cus_000152,Beacon Collective Pty Ltd,AU,Australia,APAC,Australia,professional_services,9,SMB,self_serve,2024-01-23,2024-01-02,active
153,cus_000153,Canyon Works Corp,US,United States,North America,South,logistics,53,Mid-Market,outbound,2023-10-29,,churned
154,cus_000154,Blue Studios Corp,US,United States,North America,West,manufacturing,6,SMB,self_serve,2026-03-11,,churned
155,cus_000155,North Services Inc,US,United States,North America,West,facilities,31,SMB,self_serve,2024-09-09,,churned
156,cus_000156,Golden Retail Pty Ltd,AU,Australia,APAC,Australia,logistics,15,SMB,self_serve,2025-03-21,2025-03-07,active
157,cus_000157,Cedar Networks LLC,US,United States,North America,South,healthcare,787,Enterprise,partner,2025-12-22,,active
158,cus_000158,Apex Systems Inc,US,United States,North America,West,manufacturing,42,SMB,self_serve,2026-05-21,2026-05-07,churned
159,cus_000159,Maple Collective LLC,US,United States,North America,Midwest,healthcare,48,SMB,partner,2025-10-04,,active
160,cus_000160,Alpine Group LLC,US,United States,North America,Midwest,,18,SMB,self_serve,2025-08-24,,active
161,cus_000161,Granite Engineering LLC,US,United States,North America,South,professional_services,26,SMB,self_serve,2026-06-25,,active
162,cus_000162,Canyon Labs AB,SE,Sweden,Europe,Nordics,manufacturing,47,SMB,self_serve,2026-01-16,2026-01-02,churned
163,cus_000163,Forest Fabrication GmbH,DE,Germany,Europe,DACH,logistics,116,Mid-Market,outbound,2024-10-06,,churned
164,cus_000164,Harbour Workshops LLC,US,United States,North America,Northeast,financial_services,25,SMB,inbound,2025-04-13,,active
165,cus_000165,Pacific Retail GmbH,DE,Germany,Europe,DACH,logistics,1130,Enterprise,outbound,2024-11-02,,active
166,cus_000166,Cedar Studios B.V.,NL,Netherlands,Europe,Western Europe,construction,19,SMB,self_serve,2025-04-09,2025-03-26,churned
167,cus_000167,Oak Clinics SAS,FR,France,Europe,Western Europe,professional_services,95,Mid-Market,partner,2024-09-30,,churned
168,cus_000168,River Operations LLC,US,United States,North America,South,facilities,49,SMB,self_serve,2025-02-12,2025-01-29,churned
169,cus_000169,Forge Studios Pty Ltd,AU,Australia,APAC,Australia,retail,158,Mid-Market,partner,2025-03-26,,active
170,cus_000170,Maple Systems AB,SE,Sweden,Europe,Nordics,retail,40,SMB,inbound,2025-06-12,,churned
171,cus_000171,Alpine Works LLP,GB,United Kingdom,Europe,United Kingdom,professional_services,157,Mid-Market,inbound,2024-05-22,,churned
172,cus_000172,Bright Solutions LLC,US,United States,North America,Midwest,facilities,79,Mid-Market,partner,2022-12-07,,active
173,cus_000173,Coastal Retail AB,SE,Sweden,Europe,Nordics,financial_services,87,Mid-Market,partner,2025-06-29,,churned
174,cus_000174,Summit Advisory LLC,US,United States,North America,South,healthcare,33,SMB,self_serve,2026-08-10,2026-08-03,active
175,cus_000175,North Retail Corp,US,United States,North America,Northeast,professional_services,87,Mid-Market,inbound,2023-07-15,,churned
176,cus_000176,Maple Industries SARL,FR,France,Europe,Western Europe,logistics,760,Enterprise,partner,2023-10-18,,active
177,cus_000177,Bright Holdings Pty Ltd,AU,Australia,APAC,Australia,professional_services,50,Mid-Market,partner,2026-07-30,,active
178,cus_000178,Lumen Networks Inc,US,United States,North America,Northeast,professional_services,40,SMB,inbound,2024-08-05,,active
179,cus_000179,Blue Services LLC,US,United States,North America,South,healthcare,7,SMB,self_serve,2022-08-12,2022-07-29,churned
180,cus_000180,Urban Solutions Pty Ltd,AU,Australia,APAC,Australia,facilities,13,SMB,inbound,2026-08-18,,active
181,cus_000181,Blue Services Inc,US,United States,North America,South,construction,90,Mid-Market,event,2026-04-30,,active
182,cus_000182,Pacific Ventures Corp,US,United States,North America,West,retail,1282,Enterprise,outbound,2023-08-05,,active
183,cus_000183,Metro Engineering Ltd,CA,Canada,North America,Canada,retail,45,SMB,inbound,2022-09-26,,active
184,cus_000184,North Networks AB,SE,Sweden,Europe,Nordics,logistics,23,SMB,event,2024-08-08,,churned
185,cus_000185,Canyon Labs Ltd,CA,Canada,North America,Canada,professional_services,94,Mid-Market,outbound,2024-10-14,,active
186,cus_000186,Blue Studios AB,SE,Sweden,Europe,Nordics,manufacturing,707,Enterprise,outbound,2026-03-17,,active
187,cus_000187,Bright Supply SAS,FR,France,Europe,Western Europe,construction,559,Enterprise,partner,2025-03-27,,active
188,cus_000188,Beacon Workshops Pty Ltd,AU,Australia,APAC,Australia,healthcare,35,SMB,self_serve,2026-02-04,,active
189,cus_000189,North Clinics LLP,GB,United Kingdom,Europe,United Kingdom,facilities,52,Mid-Market,outbound,2023-07-18,,active
190,cus_000190,Atlas Industries Inc,US,United States,North America,Midwest,logistics,30,SMB,partner,2024-12-18,,churned
191,cus_000191,River Retail GmbH,DE,Germany,Europe,DACH,financial_services,31,SMB,self_serve,2025-03-17,,churned
192,cus_000192,Apex Retail Inc,CA,Canada,North America,Canada,professional_services,598,Enterprise,partner,2024-02-04,,churned
193,cus_000193,Harbour Engineering SARL,FR,France,Europe,Western Europe,logistics,28,SMB,self_serve,2024-05-28,2024-05-14,churned
194,cus_000194,Harbour Studios AB,SE,Sweden,Europe,Nordics,professional_services,989,Enterprise,inbound,2022-12-31,,churned
195,cus_000195,Amber Collective LLC,US,United States,North America,Midwest,logistics,23,SMB,partner,2026-05-26,,active
196,cus_000196,Lumen Ventures AG,DE,Germany,Europe,DACH,professional_services,7,SMB,inbound,2023-01-07,,churned
197,cus_000197,Anchor Solutions Pty Ltd,AU,Australia,APAC,Australia,professional_services,87,Mid-Market,inbound,2022-11-04,,churned
198,cus_000198,Pioneer Collective Ltd,GB,United Kingdom,Europe,United Kingdom,professional_services,9,SMB,self_serve,2026-07-14,2026-07-07,active
199,cus_000199,Coastal Operations LLP,GB,United Kingdom,Europe,United Kingdom,professional_services,25,SMB,event,2025-11-30,,active
200,cus_000200,Anchor Operations Corp,US,United States,North America,West,financial_services,500,Enterprise,partner,2026-08-13,,active
201,cus_000201,Amber Clinics Inc,US,United States,North America,Northeast,healthcare,65,Mid-Market,self_serve,2024-03-01,2024-02-16,active
202,cus_000202,Golden Fabrication LLP,GB,United Kingdom,Europe,United Kingdom,manufacturing,49,SMB,self_serve,2026-08-20,,active
203,cus_000203,Vertex Industries LLC,US,United States,North America,Midwest,financial_services,133,Mid-Market,inbound,2024-09-01,,active
204,cus_000204,Metro Supply Ltd,GB,United Kingdom,Europe,United Kingdom,professional_services,20,SMB,self_serve,2026-06-04,2026-05-14,active
205,cus_000205,Forge Clinics Pty Ltd,AU,Australia,APAC,Australia,manufacturing,35,SMB,inbound,2025-05-01,,active
206,cus_000206,Summit Collective SAS,FR,France,Europe,Western Europe,manufacturing,500,Enterprise,outbound,2026-04-26,,active
207,cus_000207,Silver Supply LLP,GB,United Kingdom,Europe,United Kingdom,construction,46,SMB,event,2022-12-13,,churned
208,cus_000208,Canyon Labs Inc,US,United States,North America,West,facilities,46,SMB,inbound,2026-03-23,,active
209,cus_000209,Nimbus Workshops Pty Ltd,AU,Australia,APAC,Australia,education,35,SMB,self_serve,2023-10-18,,churned
210,cus_000210,Copper Retail LLC,US,United States,North America,Northeast,healthcare,10,SMB,self_serve,2026-07-03,2026-06-26,active
211,cus_000211,Lumen Industries Inc,US,United States,North America,South,education,9,SMB,self_serve,2024-08-09,,active
212,cus_000212,Pacific Workshops Ltd,CA,Canada,North America,Canada,financial_services,1168,Enterprise,inbound,2023-03-21,,active
213,cus_000213,Prairie Workshops SAS,FR,France,Europe,Western Europe,healthcare,690,Enterprise,partner,2024-07-16,,active
214,cus_000214,Forge Labs Ltd,GB,United Kingdom,Europe,United Kingdom,professional_services,55,Mid-Market,partner,2025-01-30,,active
215,cus_000215,Atlas Group Inc,US,United States,North America,West,education,14,SMB,event,2023-10-13,,active
216,cus_000216,Nimbus Engineering LLC,US,United States,North America,Northeast,construction,500,Enterprise,partner,2026-07-14,,active
217,cus_000217,Pioneer Solutions GmbH,DE,Germany,Europe,DACH,manufacturing,28,SMB,partner,2026-06-23,,active
218,cus_000218,Amber Logistics AG,DE,Germany,Europe,DACH,construction,13,SMB,self_serve,2024-09-08,,active
219,cus_000219,Canyon Clinics SARL,FR,France,Europe,Western Europe,manufacturing,54,Mid-Market,partner,2024-12-25,,active
220,cus_000220,Vertex Ventures Corp,US,United States,North America,Northeast,professional_services,37,SMB,outbound,2026-03-08,,active
221,cus_000221,Forest Logistics GmbH,DE,Germany,Europe,DACH,healthcare,563,Enterprise,outbound,2025-10-29,,active
222,cus_000222,Oak Ventures AG,DE,Germany,Europe,DACH,facilities,500,Enterprise,inbound,2023-12-15,,active
223,cus_000223,Beacon Solutions LLC,US,United States,North America,South,retail,21,SMB,self_serve,2024-09-16,2024-09-09,active
224,cus_000224,Blue Advisory SAS,FR,France,Europe,Western Europe,,77,Mid-Market,outbound,2024-10-24,,active
225,cus_000225,Summit Partners LLC,US,United States,North America,Northeast,construction,81,Mid-Market,outbound,2025-10-07,,active
226,cus_000226,River Studios Corp,US,United States,North America,Midwest,retail,45,SMB,self_serve,2025-07-12,2025-07-05,active
227,cus_000227,Oak Labs SAS,FR,France,Europe,Western Europe,logistics,50,Mid-Market,outbound,2025-05-06,,active
